Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024-02-07,280.10,0.47,280.10,273.40,273.40,"9,585","2,664,094.80"
2024-02-08,287.90,2.78,290.00,275.10,275.10,"16,022","4,586,786.40"
2024-02-11,288.00,0.03,293.70,285.00,285.00,"17,495","5,074,250.50"
2024-02-12,291.00,1.04,293.70,285.00,288.00,"15,836","4,581,589.00"
2024-02-13,300.00,3.09,307.00,282.20,285.30,"64,758","19,448,176.80"
2024-02-14,316.00,5.33,324.00,294.20,294.20,"64,662","20,349,809.90"
2024-02-15,318.00,0.63,328.00,311.00,320.00,"30,685","9,843,237.30"
2024-02-18,300.20,-5.6,320.00,300.10,320.00,"34,810","10,768,896.10"
2024-02-20,294.00,-2.07,305.00,290.10,305.00,"10,052","2,981,882.20"
2024-02-21,294.90,0.31,299.70,288.40,288.40,"7,948","2,333,239.20"
2024-02-22,285.00,-3.36,292.00,280.00,290.00,"18,108","5,182,576.60"
2024-02-25,277.00,-2.81,285.00,273.80,284.90,"12,419","3,472,833.00"
2024-02-26,284.40,2.67,284.50,271.60,271.60,"6,245","1,731,047.70"
2024-02-27,292.00,2.67,294.90,278.80,278.80,"12,613","3,640,995.50"
2024-02-28,289.00,-1.03,294.70,281.60,286.20,"7,803","2,222,730.80"
2024-02-29,280.00,-3.11,294.00,265.10,283.30,"5,027","1,388,546.00"
2024-03-03,271.30,-3.11,280.40,260.30,275.00,"6,010","1,616,654.00"
2024-03-04,296.00,9.1,297.00,272.00,272.00,210,"61,155.00"
2024-03-05,285.00,-3.72,296.00,277.60,296.00,"9,047","2,613,035.60"
2024-03-06,296.90,4.18,298.70,279.30,279.30,"46,898","13,714,018.60"
2024-03-07,310.30,4.51,312.70,291.00,297.80,"69,448","21,303,024.70"
2024-03-10,309.50,-0.26,322.00,305.80,316.50,"9,906","3,088,544.90"
2024-03-12,302.00,-2.42,316.00,292.00,310.00,"27,555","8,299,809.00"
2024-03-13,294.00,-2.65,308.00,294.00,308.00,"15,122","4,503,523.40"
2024-03-14,297.00,1.02,306.00,288.20,289.10,"11,512","3,416,947.00"
2024-03-17,294.00,-1.01,308.90,292.00,297.00,"6,399","1,894,611.30"
2024-03-18,295.30,0.44,299.80,291.00,291.00,"9,101","2,690,597.20"
2024-03-19,296.00,0.24,306.00,295.00,295.00,"16,453","4,941,013.20"
2024-03-20,294.00,-0.68,300.00,290.20,299.90,"12,788","3,758,655.50"
2024-03-21,291.20,-0.95,297.00,291.10,296.00,"5,038","1,473,488.60"
2024-03-25,285.00,-2.13,297.00,285.00,285.50,"3,623","1,036,011.00"
2024-03-26,298.50,4.74,299.90,282.00,282.00,"11,453","3,382,895.80"
2024-03-27,298.00,-0.17,305.90,294.00,301.00,"15,901","4,795,659.70"
2024-03-28,299.90,0.64,303.00,295.00,298.00,"11,698","3,501,648.50"
2024-03-31,315.00,5.04,319.00,299.00,299.00,"71,517","22,443,093.50"
2024-04-01,318.20,1.02,327.30,310.00,315.00,"40,803","13,097,491.70"
2024-04-02,307.00,-3.52,324.00,302.00,312.10,"15,420","4,781,266.90"
2024-04-03,318.00,3.58,318.00,302.00,302.00,"14,295","4,428,608.20"
2024-04-04,309.00,-2.83,322.00,303.20,322.00,"9,468","2,921,945.40"
2024-04-07,320.00,3.56,320.00,300.00,305.00,"20,972","6,434,506.50"
