stock_a,stock_b,Cointegration_P-Value,ADF_P-Value,Mean_Reversion_Coefficient,Observations
NICLBSL,KDL,0.025904470798229183,0.0003669568840332721,-0.029012835158377402,614
NICLBSL,NCCD86,0.019866282218249365,0.019777515430385677,-0.0064735354324555764,1198
NICLBSL,BHPL,0.013740176354917427,0.0014116769441438392,-0.0241016432510209,692
NICLBSL,SRLI,0.003118169186646058,0.0003041034263471442,-0.011008804053426049,1181
NICLBSL,PRSF,0.002725385557143447,7.992598293532845e-05,-0.0729061364331523,537
NICLBSL,SMATA,0.00016955100977035896,1.8893883271010588e-10,-0.01809760349146503,1302
NICLBSL,NMB,0.04741958122318919,0.04377010118919987,-0.006156564603292852,1601
CMF1,PFL,0.0037222711490096975,0.03639923527435066,-0.007389187795297831,2408
CMF1,LUK,0.011633160742611314,3.710722893899441e-07,-0.05562499464241721,1534
CMF1,NSIF2,0.0005414785320334423,8.13348510167255e-05,-0.08190227430761682,603
CMF1,API,0.0367613820321897,0.00039776649137410707,-0.016538791805149763,2408
CMF1,KEF,0.011525539025377469,0.00010397616840186737,-0.032893315596666445,1317
CMF1,MFLD85,0.02237903682776035,0.0012745544121591469,-0.022340493012731624,1316
CMF1,BOKD86,0.006751707111837714,0.0011389463116031485,-0.038749928619211754,1024
CMF1,GHL,0.004873946354091399,2.02551974981503e-06,-0.022906160006565136,2107
CMF1,SHEL,0.005783996578315037,0.014888813401544344,-0.015481827548923957,1308
CMF1,NHPC,0.015024447174595456,0.0009640553282867878,-0.013959538836728543,2408
CMF1,MKJC,0.02591124795432812,4.1071423427423326e-06,-0.03370240006982309,1161
CMF1,NBF2,0.000899168874282018,4.639793258130529e-08,-0.04878441483855098,1752
CMF1,SWMF,0.013274713905652418,0.00010915326175970167,-0.034328239364884515,929
CMF1,SPHL,0.0012726053406973913,0.04644245262434027,-0.022324802057183835,771
CMF1,NICGF2,8.335121071788092e-06,8.062826545755619e-05,-0.12755962114710706,289
CMF1,BHL,0.000273294060531386,0.042228365311691544,-0.020307388149954805,916
CMF1,SPDL,6.221738962536628e-05,0.0007513113367002156,-0.015038699107199198,2408
CMF1,PMHPL,0.0266616493648289,0.0004318751149285868,-0.016998636642074644,2238
CMF1,NBLD85,0.017692122112113108,0.0027894267618395058,-0.03382408374293853,1078
CMF1,EBLD86,0.006045173806622014,0.00018116760948446516,-0.04390276290048436,790
CMF1,UHEWA,0.0026118762869291935,0.0020259503176095024,-0.02874410401807357,838
CMF1,SIFC,0.01757465083688807,0.01528266316967121,-0.009914467827839259,2408
CMF1,UPCL,0.0033678834541458866,0.0005360762598987567,-0.011387833283096959,2074
CMF1,NIBSF2,0.014449524106142905,1.893118123624286e-05,-0.050356046056985106,1248
CMF1,MKCL,0.026240657443874642,0.03410401748590647,-0.025811447900187225,348
CMF1,ENL,0.0018927595812762395,0.000515704978412126,-0.02375192720278247,996
CMF1,PBLD86,0.001362887069249674,0.0005480069369619663,-0.025389920678525014,1289
CMF1,NICBF,0.003972474987008781,6.067915417347702e-06,-0.03578437954127138,1842
CMF1,HRL,0.03630352180228834,0.045161220025863986,-0.03128965655600546,323
CMF1,SBCF,0.0011540159023504593,1.6490883397318994e-07,-0.0633406185167592,1266
CMF1,AKJCL,0.029377783963725423,1.879809165165215e-06,-0.02698841984307975,2168
CMF1,GWFD83,0.001138485461988469,0.0011766726447307743,-0.029067046892003248,1241
CMF1,DHPL,0.02894353586885947,0.0019155165585105066,-0.010593492366137394,2408
CMF1,ADBLD83,0.031590973094676573,0.004906211770921776,-0.019546806844686605,1308
CMF1,FMDBL,3.814660292558427e-05,1.579769440058548e-05,-0.02325550003555355,2408
CMF1,AHPC,0.009440498100491837,0.000543533589262438,-0.01562896204417248,2408
CMF1,GIBF1,0.023162488100320566,1.1975478606710558e-05,-0.08639089640032827,790
CMF1,SAGF,9.785694031360545e-08,5.106794112247175e-07,-0.10695985960689258,622
CMF1,KKHC,0.0023148354763978295,0.0008031487909805234,-0.01180753866955254,2408
CMF1,NWCL,0.029178698261649753,0.0005812597039360067,-0.04898532191779374,341
CMF1,LVF2,0.003106597756302244,4.0390168543258205e-05,-0.0655672887742742,432
CMF1,C30MF,8.956202849871681e-06,0.00015302573375814457,-0.10175525542615227,470
CMF1,JOSHI,0.0003680913686102048,0.00026948467466669383,-0.012192460225289763,2150
CMF1,BHPL,0.007223292312143129,0.007648746965879374,-0.034667390268854605,692
CMF1,RADHI,0.00041767001872712763,0.0024316998380077936,-0.012056870981127935,2408
CMF1,NICFC,1.6466371596158955e-05,1.079074738263454e-05,-0.07274436448780655,806
CMF1,PSF,0.045155583976067816,0.000349389901770889,-0.03696057720945873,1253
CMF1,SBLD84,0.03258236588445843,0.0002593340645234907,-0.03500224177117918,1273
CMF1,NICSF,0.020681056760082264,3.820440028832706e-07,-0.07859540526230323,1176
CMF1,BBC,0.03227619165303653,0.0013774169004493663,-0.011251969814569055,2408
CMF1,H8020,3.3020883069705313e-11,5.995056791775423e-08,-0.17413932246702443,317
CMF1,PRSF,1.5294956585301095e-06,1.5379793586103693e-07,-0.11104258112676732,537
CMF1,SMATA,0.00619435603259988,0.0024113782433244717,-0.010047193809398764,2400
CMF1,SBD87,0.0006721499521290196,6.776513379675061e-05,-0.0382342723267715,1272
CMF1,LBLD86,0.0009206822397894752,0.0032829772354304745,-0.02162501824257109,1303
CMF1,RMF1,0.0035628929101984667,1.7527116492877655e-08,-0.08820748974693493,1181
CMF1,BNT,0.0037256172219805204,0.0004887163373834413,-0.017067171942950057,2408
PFL,SHINE,0.007156027357319616,0.011086756678816524,-0.005884704413584293,4740
PFL,PROFL,0.0006250300659103069,0.005556639613506827,-0.005596358877180244,4830
PFL,NRN,0.009756533633036087,0.02483111946102418,-0.012015054681099336,1553
PFL,SWMF,0.001445576757084858,0.02007916077622061,-0.019887496344863063,929
PFL,MLBBL,0.012683198085692208,0.0005219496695125811,-0.009350453738735826,3802
PFL,NGPL,0.0005339338967228328,0.0008431967830671601,-0.01234160223556957,3002
PFL,ENL,0.03639888851508823,0.003634299314874965,-0.018966820229868883,996
PFL,AVYAN,0.015162881415468375,0.03909857769024739,-0.021322562972656934,793
PFL,EDBL,0.012872244117097439,0.0008611152470808565,-0.007240241642817312,4830
PFL,SFCL,0.01794025012174428,0.04716164983873005,-0.0053110009216825235,4822
PFL,GBBL,0.025076603274481017,0.01004844109288799,-0.0059951274422707585,4830
PFL,SLCF,0.016664451476015252,0.00749841136345813,-0.012733744954826397,1370
PFL,CIT,0.04682274983879431,0.02549645013903301,-0.0039081134036307065,4823
PFL,JOSHI,0.007823371567017703,0.0015232630829032988,-0.0115764912773736,2150
PFL,BHPL,0.022366694336328503,0.007800012268014795,-0.029540915118579876,692
PFL,NICL,0.03233233502313322,0.016018733038572572,-0.005183119040702614,4811
PFL,SMB,0.006164112506148175,0.002560077433765296,-0.013131147092664282,2452
PFL,RADHI,0.010308331962650201,0.005228706598156702,-0.009908470383014269,2436
PFL,GUFL,0.029820509445611175,0.00525996087903797,-0.006152957892741287,4829
DORDI,HBLD86,0.03177774540300131,0.007920187527888489,-0.04814485168156059,344
DORDI,EBLD85,0.033617892402933724,0.0065608045624417945,-0.04230051214522166,351
DORDI,KBLD89,0.03611487651284022,0.00901061243949417,-0.04620680290974254,344
DORDI,HHL,0.011091261974054191,0.0020313153584499435,-0.035318921476518605,841
DORDI,JBBD87,0.018274086365442147,0.0030507413278320185,-0.0542271405621942,343
DORDI,RBBD83,0.038752154151425244,0.00911939444948778,-0.04587505579012643,342
DORDI,SBID89,0.018003659735104295,0.006724097280387832,-0.054747694395785564,328
DORDI,SIGS3,0.0005602061540029565,0.00010217680270049233,-0.09394327071040717,327
LUK,SBID83,0.008540054659790094,0.003884039631546227,-0.03780286517959608,772
LUK,JBBL,0.009043898270928783,0.006325584670735662,-0.01714637666504585,1534
LUK,CMF2,0.03616467810952536,2.5635820681033673e-06,-0.05081309690805561,1465
LUK,NSIF2,0.0007561804250322975,0.00018543579456717057,-0.06573433534040289,603
LUK,SFEF,0.04006332963689208,3.503092216615826e-08,-0.08645386071287409,586
LUK,CHL,0.033778947791361494,0.03156287168718841,-0.011598577829175212,1534
LUK,KEF,0.00475926955534524,2.7406253977449182e-06,-0.045036666043461265,1317
LUK,BARUN,0.0011617551493059211,0.007418409157619053,-0.017110880633936672,1534
LUK,MFLD85,0.0056655033025089585,0.0007769597920136855,-0.024989148426282443,1316
LUK,BOKD86,0.002201086129098508,0.0016041989685415211,-0.03768041098479043,1024
LUK,GHL,0.015355871177658818,0.004852751476993401,-0.017467020178146143,1534
LUK,MLBL,0.017956563341230455,0.013812655408327802,-0.015371044672348854,1534
LUK,KSBBL,0.0035142315153811462,0.017382297928065855,-0.013161108284619737,1534
LUK,NBF2,0.0003771675315552045,3.6188720667140214e-07,-0.05125457163383179,1534
LUK,PBD88,0.0025628302840733554,1.1572725172170624e-05,-0.06100749616455379,831
LUK,NICGF2,2.993824185689603e-06,1.8289528893891277e-07,-0.20130708142064146,289
LUK,SPDL,0.01972540168473911,0.016158597292537005,-0.014839396431317738,1534
LUK,LBBL,0.00010065836045423406,0.0038144075503667076,-0.01707339855315102,1534
