Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss
RADHI,API,8.0,-1.28,1.6,0.43,0.05,13126.56,3.05,0.68,0.03,12,0.67,5.41,16.64,8.2
NHPC,KPCL,7.0,-1.11,1.73,0.23,0.05,11995.66,3.13,2.53,0.01,10,0.7,2.8,13.66,11.4
NHPC,HDHPC,17.0,-1.38,1.3,0.22,0.05,12658.48,3.51,3.45,0.01,11,0.82,32.79,14.57,2.0
NHPC,DHPL,8.0,-1.48,1.51,-0.41,0.05,12601.94,2.76,1.33,0.02,8,0.5,2.43,12.44,6.83
NHPC,API,12.0,-1.07,2.12,-0.39,0.1,12425.67,2.86,1.14,0.02,7,0.86,2.27,15.88,41.9
NHPC,AKPL,28.0,-1.13,1.0,0.28,0.05,13364.0,3.05,3.24,0.01,9,0.67,20.88,15.66,2.25
NHPC,UNHPL,26.0,-1.73,1.02,0.39,0.2,12611.75,2.76,0.59,0.03,7,0.86,1.06,12.19,68.9
HDHPC,DHPL,5.0,-2.16,1.19,0.37,0.05,11925.01,2.91,1.04,0.02,8,0.75,7.82,9.13,3.5
HDHPC,API,13.0,-1.04,2.26,-0.42,0.05,13087.91,2.89,2.54,0.01,9,0.44,5.85,24.86,3.4
HDHPC,UNHPL,26.0,-1.62,1.28,-0.11,0.1,12695.48,2.67,1.07,0.02,8,0.75,2.39,13.17,33.0
DHPL,AKPL,21.0,-2.01,1.13,-0.46,0.05,12284.33,2.61,2.34,0.01,6,0.67,15.51,19.77,5.1
DHPL,UNHPL,7.0,-1.47,1.16,0.13,0.05,14104.69,3.51,1.44,0.02,12,0.58,1.76,10.78,8.6
AKPL,UNHPL,9.0,-1.81,1.32,0.19,0.05,13392.45,3.19,2.48,0.01,9,0.67,3.9,12.81,6.57
NRIC,HRL,9.0,-2.53,1.03,-0.47,0.1,12514.02,2.07,0.74,0.02,10,0.6,1.41,41.16,43.9
SHIVM,HRL,25.0,-1.22,1.52,-0.48,0.05,12139.86,2.11,1.11,0.01,10,0.7,17.21,33.68,6.85
NABIL,KBL,6.0,-1.03,1.73,-0.14,0.15,11196.41,2.55,1.44,0.01,8,0.5,3.11,15.1,6.47
NABIL,NYADI,19.0,-1.0,1.38,-0.02,0.05,11284.65,2.11,1.55,0.01,6,0.67,2.66,22.27,33.5
NABIL,NHPC,5.0,-1.17,1.24,0.08,0.1,11123.09,2.05,0.52,0.02,9,0.67,1.6,12.01,15.03
NABIL,KPCL,10.0,-2.72,1.04,0.13,0.05,13445.39,3.45,2.38,0.02,8,0.88,3.9,24.55,44.1
NABIL,API,5.0,-1.07,1.44,0.36,0.1,11115.21,2.58,1.42,0.01,10,0.5,1.32,20.41,19.35
NABIL,UNHPL,14.0,-1.28,2.11,0.44,0.05,11742.15,2.85,2.15,0.01,6,0.67,1.68,14.11,33.5
KBL,NHPC,14.0,-1.74,2.03,0.23,0.05,11918.2,2.95,1.67,0.01,7,0.86,26.8,17.87,4.0
KBL,DHPL,5.0,-1.06,1.16,-0.17,0.05,12396.87,2.14,0.35,0.06,17,0.47,1.98,14.78,7.47
KBL,UNHPL,17.0,-1.03,1.44,-0.2,0.05,14625.28,3.88,2.29,0.02,10,0.7,4.43,20.18,15.95
MBL,KPCL,6.0,-1.06,1.55,-0.24,0.05,12567.12,3.86,1.18,0.01,13,0.69,2.08,14.16,15.35
MBL,AKPL,11.0,-1.28,2.05,0.41,0.05,11893.48,3.03,1.26,0.01,8,0.88,45.85,13.76,2.1
NICA,NHPC,9.0,-1.75,1.41,0.31,0.1,11313.66,2.17,0.68,0.02,6,0.83,0.81,8.92,55.0
NYADI,KPCL,6.0,-1.82,1.01,-0.11,0.05,12169.28,3.56,1.43,0.01,11,0.73,2.85,17.29,16.17
RADHI,NHPC,10.0,-1.43,1.01,0.34,0.05,12664.08,2.95,1.04,0.02,11,0.73,46.08,15.55,1.35
RADHI,KPCL,10.0,-2.27,1.1,-0.29,0.05,12667.88,3.37,0.92,0.02,11,0.64,2.02,28.61,24.78
RADHI,API,14.0,-1.77,1.11,0.45,0.05,13513.32,3.12,1.56,0.02,8,0.62,9.1,29.86,5.47
NHPC,KPCL,5.0,-1.39,1.5,0.05,0.05,12105.26,3.22,2.01,0.01,11,0.64,1.68,8.06,8.4
NHPC,HDHPC,18.0,-1.36,1.36,-0.19,0.05,12683.83,3.54,3.58,0.01,10,0.7,34.41,19.66,2.0
NHPC,API,12.0,-1.08,2.67,-0.49,0.1,12425.67,2.86,1.14,0.02,7,0.86,2.27,15.88,41.9
NHPC,AKPL,12.0,-1.08,2.07,-0.17,0.05,13136.38,2.88,1.22,0.02,7,0.86,108.07,10.81,0.6
NHPC,UNHPL,26.0,-1.92,1.0,0.15,0.2,12429.39,2.59,0.55,0.03,7,0.86,1.02,11.76,68.9
HDHPC,DHPL,5.0,-1.53,1.16,0.01,0.05,13812.46,3.69,1.64,0.02,13,0.69,4.42,12.56,6.4
HDHPC,API,10.0,-1.01,2.97,-0.17,0.05,12306.98,2.9,2.15,0.01,9,0.56,6.12,20.57,4.2
DHPL,AKPL,11.0,-1.06,1.23,-0.08,0.05,12416.64,2.65,0.89,0.02,9,0.56,2.76,12.54,7.57
DHPL,UNHPL,9.0,-1.22,1.56,-0.3,0.05,13062.04,2.91,1.37,0.02,13,0.46,1.47,11.62,7.88
AKPL,UNHPL,8.0,-1.36,1.32,0.02,0.05,14328.54,3.56,1.1,0.02,14,0.64,6.78,12.72,4.23
GFCL,CLI,11.0,-2.29,1.35,0.4,0.05,13184.91,2.0,0.49,0.04,16,0.75,4.31,24.53,17.08
GFCL,MFIL,5.0,-2.78,1.46,0.44,0.05,13708.56,2.43,0.75,0.03,13,0.69,3.7,40.85,24.88
NRIC,HRL,12.0,-2.38,1.49,-0.04,0.15,12211.78,2.03,0.65,0.02,8,0.5,1.51,50.97,33.85
CFCL,RADHI,6.0,-1.56,1.68,-0.36,0.05,12901.73,2.71,1.8,0.01,7,0.71,171.29,37.68,1.1
CFCL,NHPC,12.0,-1.1,1.99,0.4,0.05,12826.44,2.71,2.43,0.01,11,0.55,2.17,34.19,23.68
CFCL,HDHPC,12.0,-1.03,1.84,0.01,0.05,12773.45,2.7,3.51,0.01,10,0.4,1.28,31.8,19.88
CFCL,DHPL,10.0,-1.3,1.85,0.12,0.1,12686.93,2.57,3.56,0.01,6,0.67,1.96,58.07,59.25
CFCL,AKPL,12.0,-1.01,1.31,0.09,0.05,12808.96,2.66,1.58,0.02,11,0.55,2.28,37.29,24.55
MFIL,NHPC,10.0,-1.49,2.13,-0.09,0.1,12175.7,2.82,1.14,0.02,7,0.71,2.23,18.65,41.9
MFIL,HDHPC,10.0,-1.46,2.01,0.17,0.05,12656.24,3.01,1.36,0.02,7,0.43,1.98,16.93,8.57
MFIL,DHPL,10.0,-1.44,2.12,0.23,0.05,12286.46,2.39,2.31,0.01,7,0.57,0.6,10.27,34.0
GUFL,NHPC,10.0,-2.19,1.18,0.4,0.05,12017.59,2.46,2.68,0.01,5,0.6,1.54,9.13,8.9
GUFL,KPCL,6.0,-2.28,1.0,-0.47,0.05,12076.21,2.46,1.3,0.01,7,0.57,2.62,27.29,13.9
GUFL,API,8.0,-2.29,1.03,0.15,0.05,11690.59,2.07,0.8,0.02,5,0.6,5.17,16.9,4.9
NYADI,RADHI,10.0,-1.04,1.16,0.14,0.05,11831.7,2.57,0.69,0.03,12,0.67,23.36,15.77,1.8
RADHI,NHPC,11.0,-1.39,1.16,0.3,0.05,12649.89,2.76,1.06,0.02,10,0.6,32.6,20.1,1.23
RADHI,KPCL,10.0,-2.6,1.01,0.02,0.05,12693.25,3.41,0.93,0.02,10,0.7,2.3,28.34,28.7
RADHI,HDHPC,12.0,-1.17,2.6,0.01,0.05,11705.25,2.44,1.87,0.01,6,0.5,15.39,30.77,3.0
RADHI,DHPL,8.0,-1.67,1.68,0.01,0.05,12324.29,2.82,1.0,0.02,9,0.78,17.06,17.06,7.0
RADHI,API,8.0,-1.28,1.6,0.43,0.05,13126.56,3.05,0.68,0.03,12,0.67,5.41,16.64,8.2
NHPC,KPCL,7.0,-1.11,1.73,0.23,0.05,11995.66,3.13,2.53,0.01,10,0.7,2.8,13.66,11.4
NHPC,HDHPC,17.0,-1.38,1.3,0.22,0.05,12658.48,3.51,3.45,0.01,11,0.82,32.79,14.57,2.0
NHPC,DHPL,8.0,-1.48,1.51,-0.41,0.05,12601.94,2.76,1.33,0.02,8,0.5,2.43,12.44,6.83
NHPC,API,12.0,-1.07,2.12,-0.39,0.1,12425.67,2.86,1.14,0.02,7,0.86,2.27,15.88,41.9
NHPC,AKPL,28.0,-1.13,1.0,0.28,0.05,13364.0,3.05,3.24,0.01,9,0.67,20.88,15.66,2.25
NHPC,UNHPL,26.0,-1.73,1.02,0.39,0.2,12611.75,2.76,0.59,0.03,7,0.86,1.06,12.19,68.9
HDHPC,DHPL,5.0,-2.16,1.19,0.37,0.05,11925.01,2.91,1.04,0.02,8,0.75,7.82,9.13,3.5
HDHPC,API,13.0,-1.04,2.26,-0.42,0.05,13087.91,2.89,2.54,0.01,9,0.44,5.85,24.86,3.4
HDHPC,UNHPL,26.0,-1.62,1.28,-0.11,0.1,12695.48,2.67,1.07,0.02,8,0.75,2.39,13.17,33.0
DHPL,AKPL,21.0,-2.01,1.13,-0.46,0.05,12284.33,2.61,2.34,0.01,6,0.67,15.51,19.77,5.1
DHPL,UNHPL,7.0,-1.47,1.16,0.13,0.05,14104.69,3.51,1.44,0.02,12,0.58,1.76,10.78,8.6
AKPL,UNHPL,9.0,-1.81,1.32,0.19,0.05,13392.45,3.19,2.48,0.01,9,0.67,3.9,12.81,6.57
CBBL,SKBBL,13.0,-2.83,1.22,0.05,0.05,11122.79,2.29,0.53,0.01,10,0.7,0.49,12.41,88.05
CBBL,SMFDB,10.0,-1.46,1.8,0.49,0.05,12188.92,2.14,1.26,0.01,8,0.5,1.6,60.84,38.12
SKBBL,SMFDB,17.0,-1.29,1.4,-0.42,0.15,12514.25,2.65,0.87,0.02,12,0.5,1.31,62.41,57.04
LICN,NLG,8.0,-1.49,1.03,-0.29,0.05,13748.73,2.34,0.35,0.04,31,0.65,2.28,35.04,30.78
NICL,HEI,19.0,-1.76,1.01,-0.1,0.05,12697.21,2.35,0.78,0.01,18,0.61,2.44,42.99,32.27
ALICL,HRL,29.0,-2.13,1.64,0.44,0.05,11552.57,2.04,0.68,0.01,6,0.83,10.76,36.59,17.0
LICN,NLIC,10.0,-1.54,1.09,0.23,0.05,13509.56,2.85,0.87,0.02,19,0.63,3.16,44.02,27.88
NRIC,HRL,8.0,-2.53,1.02,0.16,0.1,12595.3,2.15,0.44,0.07,15,0.67,1.38,25.44,36.78
SHIVM,HRL,29.0,-1.65,1.08,-0.2,0.05,12145.13,2.44,2.37,0.01,8,0.75,3.35,36.26,32.5
RADHI,NHPC,10.0,-1.17,1.04,0.35,0.05,12634.81,3.02,1.16,0.02,11,0.64,25.71,17.63,1.6
RADHI,AKPL,8.0,-1.45,1.69,0.5,0.05,12404.63,2.77,0.67,0.02,10,0.6,10.96,14.99,2.73
NHPC,HDHPC,17.0,-1.56,1.34,0.46,0.05,12758.74,3.63,3.78,0.01,10,0.7,7.71,12.45,3.77
NICL,SICL,9.0,-1.53,1.16,0.4,0.05,13410.34,3.03,1.31,0.02,20,0.7,3.44,27.1,18.4
NLG,SICL,14.0,-1.01,1.14,0.34,0.1,12024.95,2.49,0.59,0.02,20,0.55,1.95,32.69,23.0
NLG,NTC,5.0,-1.2,1.01,0.37,0.15,13493.0,2.37,0.62,0.03,30,0.73,1.86,23.69,39.96
SICL,PRIN,12.0,-1.11,1.03,-0.14,0.05,12893.79,2.13,0.65,0.02,19,0.53,2.22,42.43,23.92
PRIN,HRL,27.0,-1.21,1.3,-0.26,0.05,11967.0,2.01,1.65,0.01,9,0.67,3.87,60.33,31.17
NRIC,HRL,8.0,-1.25,1.03,0.43,0.1,13054.07,2.18,0.39,0.07,21,0.52,1.17,25.89,24.27
SHIVM,HRL,25.0,-1.52,1.53,-0.26,0.05,12406.95,2.28,1.27,0.01,9,0.67,6.56,39.37,18.0
NICL,RADHI,14.0,-1.13,1.31,0.15,0.05,12179.84,3.15,1.75,0.01,9,0.89,34.01,36.99,8.7
NLG,API,6.0,-1.72,1.28,0.39,0.05,13005.78,2.81,1.18,0.02,9,0.67,4.7,12.92,8.25
PRIN,RADHI,10.0,-1.5,1.25,-0.01,0.05,12758.24,3.7,1.38,0.02,12,0.83,31.37,28.86,9.2
PRIN,HDHPC,14.0,-1.03,2.02,-0.26,0.05,11286.93,2.41,0.88,0.02,8,0.75,5.4,48.58,54.0
RADHI,NHPC,11.0,-1.35,1.3,0.43,0.05,12934.48,3.0,1.06,0.02,11,0.64,32.6,17.23,1.23
RADHI,AKPL,7.0,-1.36,1.68,0.33,0.05,12150.88,3.18,0.89,0.02,12,0.58,9.97,14.39,2.52
NHPC,HDHPC,18.0,-1.27,1.26,-0.04,0.05,12885.81,3.82,3.27,0.01,11,0.73,31.12,17.51,1.5
NHPC,API,18.0,-1.41,1.09,-0.45,0.1,11585.6,2.62,1.03,0.01,7,0.71,2.02,16.89,41.9
NTC,SHIVM,9.0,-1.01,1.78,-0.31,0.05,11464.03,3.24,1.22,0.01,11,0.64,2.31,34.21,25.88
NTC,DHPL,8.0,-1.22,1.1,0.27,0.05,11157.58,2.3,0.55,0.02,9,0.56,1.38,28.23,34.07
HRL,DHPL,7.0,-1.1,1.41,-0.26,0.1,11278.57,2.25,0.48,0.02,11,0.45,0.8,25.9,27.08
HRL,API,8.0,-1.42,1.52,0.44,0.2,11598.34,2.32,0.92,0.01,9,0.56,16.59,36.5,3.67
HRL,AKPL,8.0,-1.14,1.9,0.42,0.2,11169.52,2.37,0.7,0.01,7,0.71,6.38,26.4,20.7
RADHI,NHPC,12.0,-1.07,1.11,0.17,0.05,12673.84,2.84,1.08,0.02,11,0.64,27.37,19.94,1.7
RADHI,AKPL,7.0,-1.48,1.57,0.02,0.05,12227.97,3.3,0.96,0.02,11,0.55,4.43,16.33,4.42
NHPC,HDHPC,18.0,-1.09,1.31,-0.04,0.05,12355.27,3.61,2.63,0.01,12,0.75,31.12,15.56,1.5
GFCL,MFIL,5.0,-2.78,1.46,0.44,0.05,13708.56,2.43,0.75,0.03,13,0.69,3.7,40.85,24.88
NRIC,HRL,12.0,-2.38,1.49,-0.04,0.15,12211.78,2.03,0.65,0.02,8,0.5,1.51,50.97,33.85
LICN,NLG,8.0,-1.49,1.03,-0.29,0.05,13748.73,2.34,0.35,0.04,31,0.65,2.28,35.04,30.78
NICL,HEI,19.0,-1.76,1.01,-0.1,0.05,12697.21,2.35,0.78,0.01,18,0.61,2.44,42.99,32.27
NTC,SHIVM,9.0,-1.01,1.78,-0.31,0.05,11464.03,3.24,1.22,0.01,11,0.64,2.31,34.21,25.88
NTC,DHPL,8.0,-1.22,1.1,0.27,0.05,11157.58,2.3,0.55,0.02,9,0.56,1.38,28.23,34.07
HRL,DHPL,7.0,-1.1,1.41,-0.26,0.1,11278.57,2.25,0.48,0.02,11,0.45,0.8,25.9,27.08
HRL,API,8.0,-1.42,1.52,0.44,0.2,11598.34,2.32,0.92,0.01,9,0.56,16.59,36.5,3.67
HRL,AKPL,8.0,-1.14,1.9,0.42,0.2,11169.52,2.37,0.7,0.01,7,0.71,6.38,26.4,20.7
RADHI,NHPC,12.0,-1.07,1.11,0.17,0.05,12673.84,2.84,1.08,0.02,11,0.64,27.37,19.94,1.7
RADHI,AKPL,7.0,-1.48,1.57,0.02,0.05,12227.97,3.3,0.96,0.02,11,0.55,4.43,16.33,4.42
NHPC,HDHPC,18.0,-1.09,1.31,-0.04,0.05,12355.27,3.61,2.63,0.01,12,0.75,31.12,15.56,1.5
CBBL,SKBBL,13.0,-2.83,1.22,0.05,0.05,11122.79,2.29,0.53,0.01,10,0.7,0.49,12.41,88.05
CBBL,SMFDB,10.0,-1.46,1.8,0.49,0.05,12188.92,2.14,1.26,0.01,8,0.5,1.6,60.84,38.12
SKBBL,SMFDB,17.0,-1.29,1.4,-0.42,0.15,12514.25,2.65,0.87,0.02,12,0.5,1.31,62.41,57.04
GFCL,CLI,11.0,-2.29,1.35,0.4,0.05,13184.91,2.0,0.49,0.04,16,0.75,4.31,24.53,17.08
NICL,RADHI,14.0,-1.13,1.31,0.15,0.05,12179.84,3.15,1.75,0.01,9,0.89,34.01,36.99,8.7
NLG,API,6.0,-1.72,1.28,0.39,0.05,13005.78,2.81,1.18,0.02,9,0.67,4.7,12.92,8.25
PRIN,RADHI,10.0,-1.5,1.25,-0.01,0.05,12758.24,3.7,1.38,0.02,12,0.83,31.37,28.86,9.2
PRIN,HDHPC,14.0,-1.03,2.02,-0.26,0.05,11286.93,2.41,0.88,0.02,8,0.75,5.4,48.58,54.0
RADHI,NHPC,11.0,-1.35,1.3,0.43,0.05,12934.48,3.0,1.06,0.02,11,0.64,32.6,17.23,1.23
RADHI,AKPL,7.0,-1.36,1.68,0.33,0.05,12150.88,3.18,0.89,0.02,12,0.58,9.97,14.39,2.52
NHPC,HDHPC,18.0,-1.27,1.26,-0.04,0.05,12885.81,3.82,3.27,0.01,11,0.73,31.12,17.51,1.5
NHPC,API,18.0,-1.41,1.09,-0.45,0.1,11585.6,2.62,1.03,0.01,7,0.71,2.02,16.89,41.9
ALICL,HRL,29.0,-2.13,1.64,0.44,0.05,11552.57,2.04,0.68,0.01,6,0.83,10.76,36.59,17.0
LICN,NLIC,10.0,-1.54,1.09,0.23,0.05,13509.56,2.85,0.87,0.02,19,0.63,3.16,44.02,27.88
NRIC,HRL,8.0,-2.53,1.02,0.16,0.1,12595.3,2.15,0.44,0.07,15,0.67,1.38,25.44,36.78
SHIVM,HRL,29.0,-1.65,1.08,-0.2,0.05,12145.13,2.44,2.37,0.01,8,0.75,3.35,36.26,32.5
RADHI,NHPC,10.0,-1.17,1.04,0.35,0.05,12634.81,3.02,1.16,0.02,11,0.64,25.71,17.63,1.6
RADHI,AKPL,8.0,-1.45,1.69,0.5,0.05,12404.63,2.77,0.67,0.02,10,0.6,10.96,14.99,2.73
NHPC,HDHPC,17.0,-1.56,1.34,0.46,0.05,12758.74,3.63,3.78,0.01,10,0.7,7.71,12.45,3.77
NABIL,KBL,6.0,-1.03,1.73,-0.14,0.15,11196.41,2.55,1.44,0.01,8,0.5,3.11,15.1,6.47
NABIL,NYADI,19.0,-1.0,1.38,-0.02,0.05,11284.65,2.11,1.55,0.01,6,0.67,2.66,22.27,33.5
NABIL,NHPC,5.0,-1.17,1.24,0.08,0.1,11123.09,2.05,0.52,0.02,9,0.67,1.6,12.01,15.03
NABIL,KPCL,10.0,-2.72,1.04,0.13,0.05,13445.39,3.45,2.38,0.02,8,0.88,3.9,24.55,44.1
NABIL,API,5.0,-1.07,1.44,0.36,0.1,11115.21,2.58,1.42,0.01,10,0.5,1.32,20.41,19.35
NABIL,UNHPL,14.0,-1.28,2.11,0.44,0.05,11742.15,2.85,2.15,0.01,6,0.67,1.68,14.11,33.5
KBL,NHPC,14.0,-1.74,2.03,0.23,0.05,11918.2,2.95,1.67,0.01,7,0.86,26.8,17.87,4.0
KBL,DHPL,5.0,-1.06,1.16,-0.17,0.05,12396.87,2.14,0.35,0.06,17,0.47,1.98,14.78,7.47
KBL,UNHPL,17.0,-1.03,1.44,-0.2,0.05,14625.28,3.88,2.29,0.02,10,0.7,4.43,20.18,15.95
MBL,KPCL,6.0,-1.06,1.55,-0.24,0.05,12567.12,3.86,1.18,0.01,13,0.69,2.08,14.16,15.35
MBL,AKPL,11.0,-1.28,2.05,0.41,0.05,11893.48,3.03,1.26,0.01,8,0.88,45.85,13.76,2.1
NICA,NHPC,9.0,-1.75,1.41,0.31,0.1,11313.66,2.17,0.68,0.02,6,0.83,0.81,8.92,55.0
NYADI,KPCL,6.0,-1.82,1.01,-0.11,0.05,12169.28,3.56,1.43,0.01,11,0.73,2.85,17.29,16.17
RADHI,NHPC,10.0,-1.43,1.01,0.34,0.05,12664.08,2.95,1.04,0.02,11,0.73,46.08,15.55,1.35
RADHI,KPCL,10.0,-2.27,1.1,-0.29,0.05,12667.88,3.37,0.92,0.02,11,0.64,2.02,28.61,24.78
RADHI,API,14.0,-1.77,1.11,0.45,0.05,13513.32,3.12,1.56,0.02,8,0.62,9.1,29.86,5.47
NHPC,KPCL,5.0,-1.39,1.5,0.05,0.05,12105.26,3.22,2.01,0.01,11,0.64,1.68,8.06,8.4
NHPC,HDHPC,18.0,-1.36,1.36,-0.19,0.05,12683.83,3.54,3.58,0.01,10,0.7,34.41,19.66,2.0
NHPC,API,12.0,-1.08,2.67,-0.49,0.1,12425.67,2.86,1.14,0.02,7,0.86,2.27,15.88,41.9
NHPC,AKPL,12.0,-1.08,2.07,-0.17,0.05,13136.38,2.88,1.22,0.02,7,0.86,108.07,10.81,0.6
NHPC,UNHPL,26.0,-1.92,1.0,0.15,0.2,12429.39,2.59,0.55,0.03,7,0.86,1.02,11.76,68.9
HDHPC,DHPL,5.0,-1.53,1.16,0.01,0.05,13812.46,3.69,1.64,0.02,13,0.69,4.42,12.56,6.4
HDHPC,API,10.0,-1.01,2.97,-0.17,0.05,12306.98,2.9,2.15,0.01,9,0.56,6.12,20.57,4.2
DHPL,AKPL,11.0,-1.06,1.23,-0.08,0.05,12416.64,2.65,0.89,0.02,9,0.56,2.76,12.54,7.57
DHPL,UNHPL,9.0,-1.22,1.56,-0.3,0.05,13062.04,2.91,1.37,0.02,13,0.46,1.47,11.62,7.88
AKPL,UNHPL,8.0,-1.36,1.32,0.02,0.05,14328.54,3.56,1.1,0.02,14,0.64,6.78,12.72,4.23
NICL,SICL,9.0,-1.53,1.16,0.4,0.05,13410.34,3.03,1.31,0.02,20,0.7,3.44,27.1,18.4
NLG,SICL,14.0,-1.01,1.14,0.34,0.1,12024.95,2.49,0.59,0.02,20,0.55,1.95,32.69,23.0
NLG,NTC,5.0,-1.2,1.01,0.37,0.15,13493.0,2.37,0.62,0.03,30,0.73,1.86,23.69,39.96
SICL,PRIN,12.0,-1.11,1.03,-0.14,0.05,12893.79,2.13,0.65,0.02,19,0.53,2.22,42.43,23.92
PRIN,HRL,27.0,-1.21,1.3,-0.26,0.05,11967.0,2.01,1.65,0.01,9,0.67,3.87,60.33,31.17
NRIC,HRL,8.0,-1.25,1.03,0.43,0.1,13054.07,2.18,0.39,0.07,21,0.52,1.17,25.89,24.27
SHIVM,HRL,25.0,-1.52,1.53,-0.26,0.05,12406.95,2.28,1.27,0.01,9,0.67,6.56,39.37,18.0
NRIC,HRL,9.0,-2.53,1.03,-0.47,0.1,12514.02,2.07,0.74,0.02,10,0.6,1.41,41.16,43.9
SHIVM,HRL,25.0,-1.22,1.52,-0.48,0.05,12139.86,2.11,1.11,0.01,10,0.7,17.21,33.68,6.85
