Date,LTP,Change,High,Low,Open,Quantity,Turnover
2021/10/24,"1,349.00",-0.44,"1,380.00","1,330.00","1,330.00","2,052","2,767,751.80"
2021/10/21,"1,355.00",0.74,"1,370.00","1,350.00","1,350.00","1,101","1,494,080.00"
2021/10/20,"1,345.00",4.26,"1,394.00","1,315.80","1,315.80",496,"677,317.00"
2021/10/19,"1,290.00",-6.51,"1,352.40","1,262.10","1,352.40","2,115","2,767,794.00"
2021/10/18,"1,379.90",-3.57,"1,431.00","1,365.00","1,431.00","1,049","1,444,003.50"
2021/10/17,"1,431.00",-1.31,"1,460.00","1,431.00","1,460.00",318,"458,187.00"
2021/10/11,"1,450.00",-1.69,"1,458.60","1,391.60","1,450.00","1,460","2,065,389.00"
2021/10/10,"1,475.00",-3.28,"1,550.00","1,475.00","1,530.00","1,433","2,148,439.80"
2021/10/06,"1,525.00",8.93,"1,530.00","1,428.00","1,428.00","5,020","7,489,231.00"
2021/10/05,"1,400.00",7.69,"1,425.00","1,326.00","1,326.00","2,228","3,068,991.00"
2021/10/04,"1,300.00",3.09,"1,335.00","1,236.00","1,245.00","2,978","3,780,068.00"
2021/10/03,"1,261.00",-3,"1,281.00","1,261.00","1,281.00",825,"1,053,483.00"
2021/09/30,"1,300.00",-2.69,"1,387.20","1,299.90","1,360.00","1,180","1,571,043.00"
2021/09/29,"1,336.00",1.98,"1,336.00","1,260.00","1,335.00","1,533","1,970,065.60"
2021/09/28,"1,310.00",-2.96,"1,377.00","1,310.00","1,377.00",510,"678,307.00"
2021/09/27,"1,350.00",-2.17,"1,380.00","1,350.00","1,370.00",975,"1,323,675.00"
2021/09/26,"1,380.00",-1.43,"1,380.00","1,372.00","1,378.10",791,"1,088,637.00"
2021/09/23,"1,400.00",-1.06,"1,443.30","1,396.00","1,443.30","2,011","2,828,212.10"
2021/09/22,"1,415.00",1.07,"1,446.00","1,393.00","1,428.00","1,295","1,831,970.00"
2021/09/21,"1,400.00",0.72,"1,410.00","1,340.10","1,380.00",915,"1,266,574.00"
2021/09/20,"1,390.00",-3.47,"1,425.00","1,366.00","1,415.00","1,803","2,502,167.00"
2021/09/16,"1,440.00",-5.45,"1,493.60","1,435.00","1,493.60","1,894","2,746,918.20"
2021/09/15,"1,523.00",-0.39,"1,559.00","1,497.10","1,559.00","1,081","1,635,194.50"
2021/09/14,"1,529.00",-0.71,"1,570.00","1,499.40","1,570.00",742,"1,126,558.40"
2021/09/13,"1,540.00",-0.26,"1,570.00","1,510.00","1,540.00",568,"873,239.00"
2021/09/12,"1,544.00",3.97,"1,544.00","1,486.00","1,486.00","1,231","1,855,981.80"
2021/09/09,"1,485.00",-1.33,"1,535.00","1,475.00","1,505.00","2,002","2,987,362.50"
2021/09/08,"1,505.00",0.33,"1,514.00","1,475.00","1,475.00","1,459","2,180,493.00"
2021/09/07,"1,500.00",1.15,"1,542.00","1,460.50","1,490.00","1,619","2,422,168.50"
2021/09/06,"1,483.00",1.58,"1,508.00","1,450.00","1,450.00","2,197","3,271,182.70"
2021/09/05,"1,460.00",-2.67,"1,500.00","1,395.00","1,500.00","3,164","4,571,083.00"
2021/09/02,"1,500.00",-1.38,"1,551.40","1,500.00","1,551.40","1,143","1,732,815.30"
2021/09/01,"1,521.00",-0.2,"1,560.00","1,495.00","1,511.00","4,502","6,798,803.00"
2021/08/31,"1,524.00",-2.94,"1,560.00","1,524.00","1,555.10","5,232","8,054,834.00"
2021/08/29,"1,570.10",-2.48,"1,605.00","1,567.00","1,605.00","6,807","10,784,086.30"
2021/08/26,"1,610.00",-0.62,"1,629.00","1,602.00","1,629.00","1,775","2,863,836.00"
2021/08/25,"1,620.00",-2.41,"1,640.00","1,608.00","1,630.00","3,684","5,973,427.00"
2021/08/24,"1,660.00",-0.9,"1,708.50","1,590.00","1,708.50","4,397","7,181,884.20"
2021/08/19,"1,675.00",2.45,"1,766.00","1,630.00","1,630.00","2,257","3,810,669.00"
2021/08/18,"1,635.00",-1.21,"1,642.20","1,607.00","1,623.00","5,756","9,305,778.00"
2021/08/17,"1,655.00",0.42,"1,694.00","1,649.00","1,680.00","4,733","7,880,020.00"
2021/08/16,"1,648.00",-1.26,"1,734.00","1,640.00","1,701.00","5,536","9,332,841.00"
2021/08/15,"1,669.00",3.02,"1,705.00","1,610.00","1,620.00","5,833","9,553,264.00"
2021/08/12,"1,620.00",-1.76,"1,649.30","1,617.00","1,649.00","3,840","6,255,130.30"
2021/08/11,"1,649.00",0.12,"1,680.00","1,615.00","1,615.00","2,741","4,504,871.00"
2021/08/10,"1,647.00",1.1,"1,689.00","1,602.00","1,602.00","2,242","3,684,369.00"
2021/08/09,"1,629.00",-1.87,"1,650.00","1,617.00","1,640.00","3,586","5,854,270.50"
2021/08/08,"1,660.00",-2.06,"1,690.00","1,660.00","1,690.00","4,800","8,029,615.60"
2021/08/05,"1,695.00",-1.63,"1,740.00","1,692.00","1,740.00","3,704","6,306,158.00"
2021/08/04,"1,723.00",-2.55,"1,795.00","1,720.00","1,795.00","4,810","8,381,613.00"
2021/08/03,"1,768.00",2.79,"1,799.40","1,742.00","1,754.40","14,368","25,434,477.30"
2021/08/02,"1,720.00",1.59,"1,726.80","1,683.00","1,726.80","6,322","10,745,593.50"
