0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
341,2024091801019766,NABIL,44,32,500,558.00,"279,000.00"
342,2024091801019765,NABIL,58,32,50,558.00,"27,900.00"
343,2024091801019764,NABIL,45,32,25,558.00,"13,950.00"
344,2024091801019763,NABIL,6,32,20,558.00,"11,160.00"
345,2024091801019774,NABIL,58,32,385,558.00,"214,830.00"
346,2024091801019773,NABIL,46,32,10,558.00,"5,580.00"
347,2024091801019772,NABIL,34,32,50,558.00,"27,900.00"
348,2024091801019771,NABIL,35,32,10,558.00,"5,580.00"
349,2024091801019770,NABIL,19,32,100,558.00,"55,800.00"
350,2024091801019769,NABIL,34,32,50,558.00,"27,900.00"
351,2024091801020000,NABIL,54,53,36,557.10,"20,055.60"
352,2024091801019861,NABIL,22,22,20,558.00,"11,160.00"
353,2024091801019806,NABIL,49,49,4,558.00,"2,232.00"
354,2024091801019805,NABIL,38,49,100,558.00,"55,800.00"
355,2024091801019804,NABIL,58,49,15,558.00,"8,370.00"
356,2024091801019781,NABIL,58,38,100,558.00,"55,800.00"
357,2024091801020302,NABIL,44,42,56,557.00,"31,192.00"
358,2024091801020283,NABIL,44,43,110,557.00,"61,270.00"
359,2024091801020282,NABIL,44,32,10,557.00,"5,570.00"
360,2024091801020216,NABIL,44,49,10,557.00,"5,570.00"
361,2024091801020214,NABIL,32,22,10,558.00,"5,580.00"
362,2024091801020001,NABIL,44,53,64,557.00,"35,648.00"
363,2024091801020398,NABIL,48,42,10,557.00,"5,570.00"
364,2024091801020336,NABIL,50,41,42,557.00,"23,394.00"
365,2024091801020335,NABIL,14,41,30,557.00,"16,710.00"
366,2024091801020334,NABIL,11,41,28,557.00,"15,596.00"
367,2024091801020304,NABIL,11,42,57,557.00,"31,749.00"
368,2024091801020303,NABIL,57,42,137,557.00,"76,309.00"
369,2024091801020529,NABIL,32,26,10,558.00,"5,580.00"
370,2024091801020495,NABIL,16,13,60,556.10,"33,366.00"
371,2024091801020448,NABIL,32,22,10,558.00,"5,580.00"
372,2024091801020426,NABIL,16,13,371,556.10,"206,313.10"
373,2024091801020403,NABIL,32,22,10,558.00,"5,580.00"
374,2024091801020399,NABIL,58,42,15,557.00,"8,355.00"
375,2024091801020685,NABIL,58,34,65,558.00,"36,270.00"
376,2024091801020655,NABIL,58,58,30,558.00,"16,740.00"
377,2024091801020577,NABIL,58,6,150,558.00,"83,700.00"
378,2024091801020576,NABIL,58,34,50,558.00,"27,900.00"
379,2024091801020575,NABIL,58,11,200,558.00,"111,600.00"
380,2024091801020574,NABIL,58,22,51,558.00,"28,458.00"
381,2024091801020959,NABIL,41,13,34,556.00,"18,904.00"
382,2024091801020932,NABIL,57,14,41,556.10,"22,800.10"
383,2024091801020931,NABIL,16,14,59,556.10,"32,809.90"
