0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
147,2024091504023459,NGPL,48,56,89,455.00,"40,495.00"
148,2024091504023458,NGPL,47,56,11,455.30,"5,008.30"
149,2024091504023457,NGPL,47,32,"1,000",455.30,"455,300.00"
150,2024091504023420,NGPL,47,60,989,455.30,"450,291.70"
151,2024091504023419,NGPL,62,60,500,455.70,"227,850.00"
152,2024091504023418,NGPL,25,36,10,456.00,"4,560.00"
153,2024091504023569,NGPL,49,49,50,455.00,"22,750.00"
154,2024091504023568,NGPL,26,42,500,455.10,"227,550.00"
155,2024091504023567,NGPL,26,58,500,455.10,"227,550.00"
156,2024091504023495,NGPL,49,66,300,455.00,"136,500.00"
157,2024091504023481,NGPL,98,58,300,455.00,"136,500.00"
158,2024091504023480,NGPL,48,58,11,455.00,"5,005.00"
159,2024091504023661,NGPL,34,7,15,455.10,"6,826.50"
160,2024091504023602,NGPL,34,45,15,455.10,"6,826.50"
161,2024091504023579,NGPL,34,46,200,455.10,"91,020.00"
162,2024091504023578,NGPL,34,42,69,455.10,"31,401.90"
163,2024091504023576,NGPL,45,42,350,455.00,"159,250.00"
164,2024091504023575,NGPL,49,42,650,455.00,"295,750.00"
165,2024091504023949,NGPL,90,21,94,455.10,"42,779.40"
166,2024091504023948,NGPL,34,21,206,455.10,"93,750.60"
167,2024091504023735,NGPL,45,36,20,456.00,"9,120.00"
168,2024091504023734,NGPL,34,50,495,455.10,"225,274.50"
169,2024091504023733,NGPL,43,50,"3,000",455.20,"1,365,600.00"
170,2024091504023698,NGPL,90,36,200,456.00,"91,200.00"
171,2024091504024015,NGPL,90,5,106,455.10,"48,240.60"
172,2024091504024014,NGPL,47,5,90,455.20,"40,968.00"
173,2024091504024012,NGPL,47,48,100,455.20,"45,520.00"
174,2024091504024001,NGPL,47,49,10,455.20,"4,552.00"
175,2024091504023991,NGPL,26,45,100,455.20,"45,520.00"
176,2024091504023984,NGPL,57,57,1,448.40,448.40
177,2024091504024193,NGPL,45,48,50,455.00,"22,750.00"
178,2024091504024152,NGPL,45,60,"2,000",455.00,"910,000.00"
179,2024091504024145,NGPL,58,21,108,455.10,"49,150.80"
180,2024091504024106,NGPL,58,36,70,455.10,"31,857.00"
181,2024091504024037,NGPL,58,40,18,455.10,"8,191.80"
182,2024091504024016,NGPL,58,5,804,455.10,"365,900.40"
183,2024091504024292,NGPL,59,32,150,455.20,"68,280.00"
184,2024091504024248,NGPL,59,45,30,455.20,"13,656.00"
185,2024091504024244,NGPL,17,7,471,455.20,"214,399.20"
186,2024091504024233,NGPL,45,49,500,455.00,"227,500.00"
187,2024091504024231,NGPL,45,35,314,455.00,"142,870.00"
188,2024091504024223,NGPL,45,21,126,455.00,"57,330.00"
189,2024091504024440,NGPL,26,57,100,456.00,"45,600.00"
190,2024091504024393,NGPL,56,57,33,455.20,"15,021.60"
191,2024091504024392,NGPL,52,57,17,455.20,"7,738.40"
192,2024091504024391,NGPL,6,57,40,455.20,"18,208.00"
193,2024091504024390,NGPL,59,57,20,455.20,"9,104.00"
194,2024091504024336,NGPL,59,33,300,455.20,"136,560.00"
195,2024091504024521,NGPL,18,21,100,456.00,"45,600.00"
196,2024091504024516,NGPL,18,48,500,456.00,"228,000.00"
